Date,SPX,USO,SLV,EUR/USD,GLD
2010-11-23,90.14,279.6,26.87,1.3602,134.41
2010-11-24,91.47,288.64,26.94,1.3386,134.18
2010-11-26,90.41,287.76,26.13,1.334,133.11
2010-11-29,90.68,294.24,26.55,1.3238,133.51
2010-11-30,90.17,288.32,27.44,1.3104,135.42
2010-12-01,92.09,297.6,27.81,1.2992,135.38
2010-12-02,93.27,302.16,27.93,1.3125,135.2
2010-12-03,93.52,306.48,28.6,1.3216,138.07
2010-12-06,93.42,305.76,29.51,1.3416,139.11
2010-12-07,93.47,302.4,28.08,1.3287,136.5
2010-12-08,93.82,303.68,27.7,1.3245,134.79
2010-12-09,94.18,303.52,28.03,1.3251,135.37
2010-12-10,94.73,301.28,27.98,1.3242,135.41
2010-12-13,94.79,303.12,28.87,1.3197,136.05
2010-12-14,94.87,303.2,28.81,1.3395,136.18
2010-12-15,94.44,303.92,28.08,1.3361,134.7
2010-12-16,94.99,302.16,28.28,1.3224,133.81
2010-12-17,95.09,302.48,28.51,1.324,134.2
2010-12-20,95.32,304.4,28.71,1.3165,135.11
2010-12-21,95.92,306.32,28.64,1.3118,135.32
2010-12-22,96.22,309.12,28.57,1.309,135.05
2010-12-23,96.08,311.84,28.61,1.3115,134.66
2010-12-27,96.12,309.68,28.59,1.308,135.02
2010-12-28,96.26,311.28,29.53,1.319,137.22
2010-12-29,96.33,310.56,29.87,1.3086,137.71
2010-12-30,96.18,304.96,29.76,1.3225,137.03
2010-12-31,96.2,312.0,30.18,1.3301,138.72
2011-01-03,97.19,312.4,29.98,1.3358,138.0
2011-01-04,97.14,304.64,29.08,1.3357,134.75
2011-01-05,97.64,308.16,28.61,1.3321,134.37
2011-01-06,97.45,301.44,28.42,1.3157,133.83
2011-01-07,97.26,301.36,28.1,1.298,133.58
2011-01-10,97.14,305.36,28.29,1.2895,134.12
2011-01-11,97.48,311.04,28.89,1.2965,134.91
2011-01-12,98.36,311.92,29.0,1.2984,135.46
2011-01-13,98.2,309.2,28.0,1.3128,134.05
2011-01-14,98.91,311.36,27.74,1.3353,132.69
2011-01-18,99.08,309.84,28.15,1.3284,133.43
2011-01-19,98.11,308.32,28.08,1.3378,133.72
2011-01-20,97.98,300.56,26.85,1.3452,131.2
2011-01-21,98.2,300.08,26.83,1.3468,131.03
2011-01-24,98.76,295.44,26.36,1.362,130.36
2011-01-25,98.81,290.16,26.23,1.3644,130.1
2011-01-26,99.2,294.8,26.89,1.3686,131.16
2011-01-27,99.44,287.52,26.29,1.371,127.93
2011-01-28,97.71,300.64,27.3,1.3723,130.28
2011-01-31,98.44,308.88,27.39,1.3573,129.87
2011-02-01,100.02,304.56,27.87,1.3714,130.8
2011-02-02,99.82,305.44,27.69,1.383,130.45
2011-02-03,100.05,304.72,28.29,1.3818,132.2
2011-02-04,100.33,298.72,28.4,1.3625,131.66
2011-02-07,100.96,293.28,28.66,1.3575,131.68
2011-02-08,101.42,293.12,29.64,1.3592,133.14
2011-02-09,101.19,292.0,29.52,1.3627,133.07
2011-02-10,101.22,292.32,29.46,1.3721,132.85
2011-02-11,101.83,288.4,29.21,1.3602,132.32
2011-02-14,102.07,287.04,29.96,1.351,132.95
2011-02-15,101.75,283.12,30.0,1.3481,133.97
2011-02-16,102.39,284.24,29.96,1.3499,134.1
2011-02-17,102.7,288.48,31.03,1.3575,135.04
2011-02-18,102.92,290.88,31.79,1.3626,135.41
2011-02-22,100.85,307.92,32.26,1.3682,136.29
2011-02-23,100.23,318.4,32.71,1.3674,137.51
2011-02-24,100.16,311.76,31.2,1.3764,136.48
2011-02-25,101.23,317.44,32.56,1.382,137.38
2011-02-28,101.86,313.52,33.11,1.3734,137.66
2011-03-01,100.16,323.84,33.87,1.3822,140.03
2011-03-02,100.38,331.12,33.84,1.3772,139.92
2011-03-03,102.1,329.44,33.42,1.3867,138.09
2011-03-04,101.34,338.64,34.69,1.3959,139.35
2011-03-07,100.54,338.96,35.23,1.3991,139.72
2011-03-08,101.42,338.48,35.18,1.3964,139.36
2011-03-09,101.28,336.4,35.27,1.3898,139.41
2011-03-10,99.4,331.2,34.36,1.3902,137.77
2011-03-11,100.09,325.52,35.03,1.3801,138.22
2011-03-14,99.49,327.28,35.01,1.3935,138.86
2011-03-15,98.35,315.12,33.61,1.3992,136.27
2011-03-16,96.53,317.44,33.37,1.3986,136.24
2011-03-17,97.8,325.52,33.51,1.3885,136.97
2011-03-18,98.16,327.76,34.27,1.4033,138.37
2011-03-21,99.68,329.04,35.3,1.4171,139.14
2011-03-22,99.34,335.44,35.54,1.4217,139.05
2011-03-23,99.62,336.88,36.47,1.4168,140.34
2011-03-24,100.57,336.4,36.12,1.4106,139.22
2011-03-25,100.88,337.44,36.39,1.4172,139.26
2011-03-28,100.63,331.36,36.19,1.4026,138.54
2011-03-29,101.31,334.64,36.17,1.408,138.21
2011-03-30,102.01,333.28,36.53,1.4111,138.67
2011-03-31,101.87,340.8,36.77,1.4121,139.86
2011-04-01,102.3,345.36,36.86,1.4159,139.2
2011-04-04,102.39,346.08,37.58,1.4223,139.84
2011-04-05,102.37,344.8,38.34,1.422,142.05
2011-04-06,102.69,346.96,38.62,1.4219,142.38
2011-04-07,102.43,351.92,38.73,1.4335,142.51
2011-04-08,102.08,361.2,39.86,1.4302,143.66
2011-04-11,101.77,349.12,39.21,1.4462,142.64
2011-04-12,101.01,338.4,39.09,1.4438,141.61
2011-04-13,101.0,342.0,39.57,1.4476,141.9
2011-04-14,101.08,346.24,41.07,1.4442,143.81
2011-04-15,101.45,349.68,41.84,1.4432,145.05
2011-04-18,100.31,343.04,42.42,1.4413,145.93
2011-04-19,100.89,343.6,43.0,1.4224,145.93
2011-04-20,102.26,353.76,44.12,1.4338,146.5
2011-04-21,102.79,356.56,45.54,1.4514,146.74
2011-04-25,102.68,356.24,45.83,1.4557,146.87
2011-04-26,103.56,355.84,44.03,1.4579,146.38
2011-04-27,104.24,360.16,47.0,1.4688,149.2
2011-04-28,104.58,358.64,47.26,1.478,149.82
2011-04-29,104.82,361.2,46.88,1.4844,152.37
2011-05-02,104.66,359.44,42.83,1.4794,150.41
2011-05-03,104.28,352.64,40.58,1.4824,149.88
2011-05-04,103.59,346.08,38.27,1.4833,147.73
2011-05-05,102.66,314.56,33.72,1.483,143.47
2011-05-06,103.11,310.96,34.48,1.4544,145.3
2011-05-09,103.51,326.96,36.98,1.4353,147.38
2011-05-10,104.39,328.64,37.52,1.4376,147.9
2011-05-11,103.29,314.8,34.39,1.4411,146.54
2011-05-12,103.78,314.24,33.32,1.4211,146.59
2011-05-13,102.99,315.52,34.39,1.4238,145.63
2011-05-16,102.33,308.08,32.85,1.4078,145.37
2011-05-17,102.32,308.4,33.09,1.4158,144.74
2011-05-18,103.23,316.0,34.23,1.4269,145.6
2011-05-19,103.48,312.56,34.26,1.4255,145.65
2011-05-20,102.66,315.76,34.18,1.4316,147.49
2011-05-23,101.46,307.76,34.27,1.4106,147.83
2011-05-24,101.38,314.24,35.77,1.4037,148.59
2011-05-25,101.72,319.44,36.92,1.4099,148.58
2011-05-26,102.19,316.8,36.51,1.4085,148.22
2011-05-27,102.58,317.68,37.03,1.4135,149.7
